#identifier	country	group	latitude	longitude	sex	mt_hg
RISE509	Russia	BARu	54,58	90,78	F	T2c1a2
RISE510	Russia	BARu	54,58	90,78	F	J2a2a
RISE511	Russia	BARu	54,58	90,78	F	J2a2a
RISE507	Russia	BARu	51,5	85,97	F	U5a1a1
RISE508	Russia	BARu	51,5	85,97	F	U5a1a1
I0707	Turkey	NENE	40,3	29,57	F	K1a4
I0708	Turkey	NENE	40,3	29,57	M	N1b1a
I0709	Turkey	NENE	40,3	29,57	M	U3
I0736	Turkey	NENE	40,3	29,57	F	N1a1a1a
I0744	Turkey	NENE	40,3	29,57	M	J1c11
I0745	Turkey	NENE	40,3	29,57	M	U8b1b1
I0746	Turkey	NENE	40,3	29,57	M	K1a or K1a1
I1096	Turkey	NENE	40,3	29,57	M	N1a1a1
I1097	Turkey	NENE	40,3	29,57	M	W1-T119C
I1098	Turkey	NENE	40,3	29,57	F	X2d2
I1099	Turkey	NENE	40,3	29,57	M	T2b
I1100	Turkey	NENE	40,3	29,57	F	K1a or K1a6
I1101	Turkey	NENE	40,3	29,57	M	T2b
I1102	Turkey	NENE	40,3	29,57	M	K1a3a
I1103	Turkey	NENE	40,3	29,57	M	K1b1b1
I1579	Turkey	NENE	40,3	29,57	F	K1a-C150T
I1580	Turkey	NENE	40,3	29,57	F	H5
I1581	Turkey	NENE	40,3	29,57	F	U3
I1583	Turkey	NENE	40,3	29,57	M	K1a2
I1585	Turkey	NENE	40,3	29,57	F	J1 or J1c
I0723	Turkey	NENE	40,26	29,65	M	X2m2
I0724	Turkey	NENE	40,26	29,65	M	K1a4
I0725	Turkey	NENE	40,26	29,65	F	N1a1a1
I0726	Turkey	NENE	40,26	29,65	F	H or H5-C16192T
I0727	Turkey	NENE	40,26	29,65	M	K1a2
kum6	Turkey	NENE	39,95	26,2	F	
RISE500	Russia	BARu	53,46	85,45	F	U4d1
RISE503	Russia	BARu	53,46	85,45	F	U2e2
RISE505	Russia	BARu	53,46	85,45	F	U4a1b
RISE512	Russia	BARu	53,46	85,45	M	U2e1
RISE94	Sweden	CWC	56,03	14,23	M	K1a2a
RISE560	Germany	BBC	48,33	10,9	M	U5a1a1
I0059	Germany	BBC	51,82	10,91	F	H1
I0559	Germany	BAC	51,79	11,14	M	HV
I0551	Germany	SMC	51,53	11,83	M	U3a1
RISE00	Estonia	CWC	59,41	27,03	F	H5a1
I0049	Germany	CWC	51,42	11,68	F	X2b4
I0103	Germany	CWC	51,42	11,68	F	W6a
I0104	Germany	CWC	51,42	11,68	M	U4b1a1a1
I0106	Germany	CWC	51,42	11,68	F	T2a1b1
I1532	Germany	CWC	51,42	11,68	M	J1c2e
I1538	Germany	CWC	51,42	11,68	M	J1c5
I1539	Germany	CWC	51,42	11,68	F	J1c1b1a
I1540	Germany	CWC	51,42	11,68	M	J1c5
I1542	Germany	CWC	51,42	11,68	M	J2a2a
I1544	Germany	CWC	51,42	11,68	M	K2b2
RISE446	Germany	CWC	50,01	10,18	M	U5b1c2
RISE434	Germany	CWC	48,93	12,26	M	U4
RISE435	Germany	CWC	48,93	12,26	F	J1b1a1
RISE436	Germany	CWC	48,93	12,26	M	U5b1c2
RISE431	Poland	CWC	52,14	16,54	M	T2e
I0124	Russia	HGE	53,4	50,4	M	U5a1d
I0061	Russia	HGN	61,65	35,65	M	C1
RISE471	Germany	CWC	48,17	10,81	M	J1c1b
GoyetQ116-1	Belgium	HGW	50,26	4,28	M	M
RISE349	Hungary	BAHu	46,36	20,99	F	T2b3
I0046	Germany	LBK	51,9	11,05	F	T2c
I0048	Germany	LBK	51,9	11,05	M	K1a26
I0057	Germany	LBK	51,9	11,05	F	N1a1
I0100	Germany	LBK	51,9	11,05	F	N1a1a1a
I0659	Germany	LBK	51,9	11,05	M	N1a1a2
I0821	Germany	LBK	51,9	11,05	M	X2d1
I1550	Germany	LBK	51,9	11,05	F	K1a2
I0795	Germany	LBK	51,28	11,65	M	H1 or H1au1b
I0797	Germany	LBK	51,28	11,65	M	H46b
I0054	Germany	LBK	51,66	11,53	F	J1c17
I0022	Germany	LBK	48,78	9,18	F	T2e
I0025	Germany	LBK	48,78	9,18	F	T2b
I0026	Germany	LBK	48,78	9,18	F	T2b
I0176	Hungary	LBK	46,4	18,74	F	N1a1a1a3
MA1	Russia	HGE	52,9	103,5	M	
RISE371	Hungary	BAHu	46,22	20,2	F	U5a2b
RISE373	Hungary	BAHu	46,22	20,2	F	K1a2a
RISE374	Hungary	BAHu	46,22	20,2	M	T2b
I0011	Sweden	HGN	58,54	15,05	F	U5a1
I0012	Sweden	HGN	58,54	15,05	M	U2e1
I0013	Sweden	HGN	58,54	15,05	M	U5a1
I0014	Sweden	HGN	58,54	15,05	F	U5a2d
I0015	Sweden	HGN	58,54	15,05	M	U5a2d
I0017	Sweden	HGN	58,54	15,05	M	U2e1
I0371	Russia	BARu	53,34	50,34	M	U2d2
I0126	Russia	BARu	53,31	51,15	M	H6a2
I0440	Russia	BARu	53,38	50,39	M	I3a
I0374	Russia	BARu	49,97	44,67	M	H13a1a
I0432	Russia	BARu	53,66	50,67	M	U5a1c
I0246	Russia	BARu	53,45	50,45	M	C1
I0418	Russia	BARu	53,45	50,45	F	T1a1
I0419	Russia	BARu	53,45	50,45	M	U2e1h
I0122	Russia	YAM	52,22	48,1	M	H2a1
I0433	Russia	YAM	52,22	48,1	M	U5a1i
I0434	Russia	YAM	52,22	48,1	M	U4a2 or U4d
I0247	Russia	SCR	52,43	51,16	M	G2a4
RISE395	Russia	BARu	52,64	59,54	F	U2e1h
RISE386	Russia	BARu	52,45	55,16	M	J1c1b1a
RISE394	Russia	BARu	52,45	55,16	F	U2e1e
RISE392	Russia	BARu	53,88	59,08	M	J2b1a2a
RISE391	Kazakhstan	BARu	50,59	56,83	F	N1a1a1a1
I0422	Russia	SRU	52,54	50,5	F	T1a1
I0232	Russia	SRU	48,1	54,44	M	U5a1f2
I0234	Russia	SRU	53,14	50,01	F	I1a1
I0235	Russia	SRU	53,14	50,01	F	K1b2a
I0430	Russia	SRU	53,08	50,36	M	H3g
I0431	Russia	SRU	53,08	50,36	F	H2b
I0358	Russia	SRU	53,03	50,39	F	H6a1a
I0359	Russia	SRU	53,03	50,39	F	U5a2a1
I0361	Russia	SRU	53,03	50,39	M	H5b
I0424	Russia	SRU	53,12	48,37	M	T2b4
I0423	Russia	SRU	52,54	50,5	M	J2b1a2a
I0354	Russia	SRU	53,03	50,39	F	U5a1
I0174	Hungary	LBK	46,21	18,7	M	N1a1a1
RISE577	Czech Republic	UNC	50,16	14,31	F	T2b
I0115	Germany	UNC	51,42	11,68	F	U5a1i
I0116	Germany	UNC	51,42	11,68	M	W3a1
I0117	Germany	UNC	51,42	11,68	F	I3a
I0164	Germany	UNC	51,79	11,14	F	U5b2a1b
RISE586	Czech Republic	UNC	48,8	17,02	F	K1b1a
RISE150	Poland	UNC	50,92	16,96	F	U5a1b1
RISE154	Poland	UNC	50,95	16,94	F	K1a4a1
RISE109	Poland	UNC	50,98	17,07	F	U4
Ust_Ishim	Russia	HGE	57,7	71,1	M	R*
RISE479	Hungary	BAHu	47,34	18,9	M	T2b
RISE480	Hungary	BAHu	47,34	18,9	F	U5a2a
RISE483	Hungary	BAHu	47,34	18,9	F	H2a1
RISE484	Hungary	BAHu	47,34	18,9	F	T1a1
RISE247	Hungary	BAHu	47,33	18,96	M	H11a
RISE254	Hungary	BAHu	47,33	18,96	M	J1c9
Iboussieres25-1	France	HGW	44,29	4,46	M	U5b2a
Iboussieres31-2	France	HGW	44,29	4,46	M	U5b1
Falkenstein	Germany	HGW	48,06	9,04	M	U5a2c
Rochedane	France	HGW	47,21	6,45	M	U5b2b
RISE550	Russia	YAM	46,56	43,68	M	U5a1i
RISE240	Russia	YAM	46,58	43,68	F	U5a1d1
RISE546	Russia	YAM	46,54	43,7	M	U5a1d2b
RISE552	Russia	YAM	46,62	43,33	M	T2a1a
I0231	Russia	YAM	52,42	48,24	M	U4a1a or U4a1d
I0370	Russia	YAM	51,27	58,18	M	H13a1a1
I0441	Russia	YAM	52,3	52,05	F	H2b
I0444	Russia	YAM	53,31	51,15	M	H6a1b
I0357	Russia	YAM	53,38	50,39	F	W6c
I0429	Russia	YAM	53,38	50,39	M	T2c1a2
I0439	Russia	YAM	53,38	50,39	M	U5a1a1
I0443	Russia	YAM	53,38	50,39	M	W3a1a
I0438	Russia	YAM	53,38	50,38	M	U5a1a1
I0854	Turkey	NENE	40,3	29,56666667	F	N1a1a1a
I0114	Germany	CWC	51,42	11,68	M	I3a
I1541	Germany	CWC	51,42	11,68	M	U2e1a1
I0056	Germany	LBK	51,89	11,04	M	T2b
I0360	Russia	SRU	53,03	50,39	M	U5a1
I0421	Russia	SRU	53,08	50,36	F	H3g
Loschbour	Luxembourg	HGW	49,81	6,4	F	U5b1a
I0050	Germany	CWC	51,42	11,68	U	U5a2d
I0102	Germany	LBK	51,9	11,05	U	N1a1a1a3
I0101	Germany	LBK	51,87	10,9	U	U5a1a
I0166	Germany	LDN	51,9	11,05	U	V1a
I0175	Hungary	LDN	46,2	18,7	U	N1a1a1
I0163	Germany	LDN	51,66	11,53	U	H5b
I0162	Germany	LDN	51,67	11,53	U	H16a'c'd
I0165	Germany	LDN	51,66	11,53	U	U5b1b
I0557	Germany	BAC	51,78333333	11,13333333	U	U5b2a2
I0552	Germany	SMC	51,520005	11,852407	U	H5
I0556	Germany	BAC	51,78333333	11,13333333	U	U8a1
I0554	Germany	SMC	51,53	11,8	U	J1c
I0558	Germany	BAC	51,78333333	11,13333333	U	
I0799	Germany	SCG	51,53305556	11,83305556	U	H1e
I0798	Germany	SCG	51,53305556	11,83305556	U	H10e'f'g
I0800	Germany	SMC	51,53305556	11,83305556	U	H3
I0796	Germany	LBK	51,28305556	11,65	U	H
I0802	Germany	SMC	51,53305556	11,83305556	U	H3
I0820	Germany	LBK	51,89583333	11,04666667	U	W1c'i
I0016	Sweden	HGE	58,535	15,046	U	U5a2
I0027	Germany	LBK	48,78	9,18	U	H40
I0023	Germany	LBK	48,78	9,18	U	H
I0019	Germany	LBK	48,78	9,18	U	HV6'17
I0021	Germany	LBK	48,78	9,18	U	T2b
I0024	Germany	LBK	48,78	9,18	U	W1c'i
I0020	Germany	LBK	48,78	9,18	U	T2e
I0428	Russia	YAM	53,38	50,39	U	W6c
I2450	Great Britain	BBC	51,68	-1,297	F	K1a1b1g
I2416	Great Britain	BBC	51,16	-1,77	M	K1b1a1
I2418	Great Britain	BBC	51,16	-1,77	F	K1a4a1
I2459	Great Britain	BBC	51,16	-1,77	F	T2a1a
I2565	Great Britain	BBC	51,16	-1,77	M	W1+119
I2566	Great Britain	BBC	51,16	-1,77	M	K1b1a1
I2598	Great Britain	BBC	51,16	-1,77	M	H
I2417	Great Britain	BBC	51,16	-1,77	M	J1c
I5379	Great Britain	BBC	50,919204	-2,015441	M	HV0+195
I4950	Great Britain	BBC	51,289876	-1,807234	M	U5a2d1
I2452	Great Britain	BBC	52,15	-0,38	M	H1e1a
I6774	Great Britain	BBC	50,862516	-0,121506	M	H4a1a1a
I4951	Great Britain	BBC	51,24	-1,76	M	K1b1a1
I5512	Great Britain	BBC	51,24	-1,76	F	J1c
I6679	Great Britain	BBC	55,309983	-1,553328	M	J1c1b1
I5513	Great Britain	BBC	51,22	-1,77	M	V
I2454	Great Britain	BBC	52,34	0,03	F	R1a1a
I2455	Great Britain	BBC	52,34	0,03	F	U5a2c3a
I5376	Great Britain	BBC	51,474176	-0,309898	F	H6a1b
I1770	Great Britain	BBC	54,201949	-0,434355	F	U5b1d2
I3255	Great Britain	BBC	52,17	0,1	F	T2b
I3256	Great Britain	BBC	52,17	0,1	M	T2b
I2453	Great Britain	BBC	52,67	-0,35	M	K2a
I6775	Great Britain	BBC	51,121284	-3,075648	M	H1
I6777	Great Britain	BBC	51,147052	-1,812529	M	U4b1b2
I6778	Great Britain	BBC	51,147052	-1,812529	F	K1a26
I1767	Great Britain	BBC	54,522812	-1,308134	M	U5a1a1
I1765	Great Britain	BBC	54,522812	-1,308134	U	N1a1a1a2
I5382	Great Britain	BBC	54,522812	-1,308134	M	T2b
I2443	Great Britain	BBC	51,79568333	-1,319891667	F	T2c1d+152
I2445	Great Britain	BBC	51,79568333	-1,319891667	M	X2b6
I2446	Great Britain	BBC	51,79568333	-1,319891667	F	K1b1a1
I2447	Great Britain	BBC	51,79568333	-1,319891667	M	K1a26
I5385	Great Britain	BBC	58,364762	-3,403508	F	H5
I2568	Great Britain	BBC	55,97	-2,444	M	U5a1b1g
I5367	Great Britain	BBC	56,680948	-6,45982	F	V10
I5471	Great Britain	BBC	55,947339	-2,47072	F	H1c3a
I7249	Czech Republic	BBC	50,19	14,158	M	I2
I7250	Czech Republic	BBC	50,19	14,158	F	R1a1a
I7251	Czech Republic	BBC	50,19	14,158	M	U2e1
I7269	Czech Republic	BBC	50,19	14,158	M	T2e
I7270	Czech Republic	BBC	50,19	14,158	F	K1a2c
I7275	Czech Republic	BBC	50,19	14,158	M	U5b2c
I7276	Czech Republic	BBC	50,19	14,158	M	H5b
I7278	Czech Republic	BBC	50,19	14,158	M	U4a2
I7271	Czech Republic	BBC	50,19	14,158	M	U4a2
I5666	Czech Republic	BBC	50,274015	15,81387	M	U4a2c
I6476	Czech Republic	BBC	50,509507	14,04452	F	U5a1b1
I7281	Czech Republic	BBC	50,044984	14,339296	F	H5a1g
I4946	Czech Republic	BBC	50,0504153	14,3667267	F	I4a
I4895	Czech Republic	BBC	50,0504153	14,3667267	M	H1+16189
I4896	Czech Republic	BBC	50,0504153	14,3667267	F	U5a2+16294
I5514	Czech Republic	BBC	50,0504153	14,3667267	M	T2b+152
I4947	Czech Republic	BBC	50,0504153	14,3667267	M	H17a
I4945	Czech Republic	BBC	50,1217475	14,4569508	F	H4a1c
I4885	Czech Republic	BBC	50,1217475	14,4569508	M	U5a1i
I4886	Czech Republic	BBC	50,1217475	14,4569508	M	H6a
I4888	Czech Republic	BBC	50,1217475	14,4569508	M	K1a2c
I4889	Czech Republic	BBC	50,1217475	14,4569508	M	U4a2
I4890	Czech Republic	BBC	50,1217475	14,4569508	M	H
I4891	Czech Republic	BBC	50,1217475	14,4569508	M	J2a1a2
I4887	Czech Republic	BBC	50,1217475	14,4569508	M	K1a2c
I7205	Czech Republic	BBC	50,410265	14,074597	M	H10+(16093)
I7210	Czech Republic	BBC	50,410265	14,074597	M	H6a1b4
I7211	Czech Republic	BBC	50,410265	14,074597	F	U5b3
I7213	Czech Republic	BBC	50,410265	14,074597	F	HV+16311
I7282	Czech Republic	BBC	50,410265	14,074597	M	K1a3a3
I7286	Czech Republic	BBC	50,410265	14,074597	M	I4a
I7287	Czech Republic	BBC	50,410265	14,074597	M	K1a4a1
I7288	Czech Republic	BBC	50,410265	14,074597	M	H1m
I7289	Czech Republic	BBC	50,410265	14,074597	M	U8b1b1
I7290	Czech Republic	BBC	50,410265	14,074597	F	V3
I7283	Czech Republic	BBC	50,410265	14,074597	F	K1a3a3
I7214	Czech Republic	BBC	50,410265	14,074597	F	U8b1b1
I7212	Czech Republic	BBC	50,410265	14,074597	M	K1b1a1+199
I6468	Czech Republic	BBC	50,166667	14,316667	F	K2b1
I6480	Czech Republic	BBC	50,166667	14,316667	M	U4a2
I5024	Czech Republic	BBC	50,118	14,258	M	H3
I5025	Czech Republic	BBC	50,118	14,258	F	U5b2c
I1392	France	BBC	47,56	7,52	F	H1+152
I1381	France	BBC	49,153	6,102	M	H
I1382	France	BBC	49,153	6,102	M	U5a2c3a
I1391	France	BBC	47,96	7,3	F	J1c4
I1390	France	BBC	47,65	7,45	M	X2b4a
I1389	France	BBC	47,65	7,45	M	X2b4a
I3601	Germany	BBC	48,8833	12,5332	F	H10e
I3602	Germany	BBC	48,8833	12,5332	F	I3a
I3600	Germany	BBC	48,8833	12,5332	F	U5b3
I3599	Germany	BBC	48,8833	12,5332	M	H1e1a
I3588	Germany	BBC	48,8833	12,5332	M	H1e1a
I3589	Germany	BBC	48,8833	12,5332	M	U4d1
I3590	Germany	BBC	48,8833	12,5332	F	H1
I3594	Germany	BBC	48,8833	12,5332	F	T2f
I3592	Germany	BBC	48,8833	12,5332	F	H+16129
I3593	Germany	BBC	48,8833	12,5332	F	H1
I3597	Germany	BBC	48,8833	12,5332	M	T2f
I3587	Germany	BBC	48,8833	12,5332	U	H1e1a
I3596	Germany	BBC	48,8833	12,5332	M	H+16129
I5519	Germany	BBC	48,33	10,895	M	I4a
I5520	Germany	BBC	48,33	10,895	F	K1b2a
I5521	Germany	BBC	48,33	10,895	F	J1b1a1
I5522	Germany	BBC	48,33	10,895	F	J1b1a1
I5017	Germany	BBC	48,33	10,9	F	H46
I4132	Germany	BBC	48,33	10,9	M	U5a1a1
E09568_d	Germany	BBC	48,33	10,9	M	U5b2b
E09613_d	Germany	BBC	48,33	10,9	F	H1
E09614_d	Germany	BBC	48,33	10,9	F	J1c3
I4248	Germany	BBC	48,841	12,75	M	T2b+152
I4249	Germany	BBC	48,841	12,75	F	H5a1
I4250	Germany	BBC	48,841	12,75	F	U5a1a2b
I5833	Germany	BBC	48,841	12,75	M	J1c
I5834	Germany	BBC	48,841	12,75	F	W5
I5655	Germany	BBC	48,841	12,75	F	H5a1
I5658	Germany	BBC	48,841	12,75	F	T2b+152
I5659	Germany	BBC	48,841	12,75	M	K1a4b
I5661	Germany	BBC	48,841	12,75	M	K1b1b1
I5663	Germany	BBC	48,841	12,75	M	U5a2+16294
I6590	Germany	BBC	48,841	12,75	F	X2c1
I6591	Germany	BBC	48,841	12,75	F	U5b2c
I6624	Germany	BBC	48,841	12,75	F	T1a1
I5656	Germany	BBC	48,841	12,75	U	T2g2
I5835	Germany	BBC	48,841	12,75	M	J1c
I5657	Germany	BBC	48,841	12,75	M	T2b+152
I5660	Germany	BBC	48,841	12,75	M	T1a1
I3604	Germany	BBC	48,6639	13,0736	M	HV9
I3607	Germany	BBC	48,6639	13,0736	M	W3a1
I5019	Germany	BBC	48,6639	13,0736	F	K1b1a1
I5523	Germany	BBC	48,663	12,707	F	K1b1a1+199
I5524	Germany	BBC	48,663	12,707	F	H72
I5525	Germany	BBC	48,663	12,707	F	U4b1b2
I5526	Germany	BBC	48,663	12,707	F	H72
I5020	Germany	BBC	48,663	12,707	F	H2a1e
I5014	Germany	BBC	48,711	11,453	F	V
I5527	Germany	BBC	48,711	11,453	F	K2b1a1
I5023	Germany	BBC	48,691	13,016	F	U2e1a1
I5529	Germany	BBC	48,691	13,016	M	HV15
I5021	Germany	BBC	48,691	13,016	M	K1c1
I5022	Germany	BBC	48,691	13,016	M	HV+16311
E09537_d	Germany	BBC	48,32	10,89	F	K1a
E09538	Germany	BBC	48,32	10,89	M	J1c
E09569	Germany	BBC	48,32	10,89	M	J1c2
I5531	Germany	BBC	48,705913	11,325375	F	T2b
I6482	Germany	BBC	48,705913	11,325375	F	U4d2
I5530	Germany	BBC	48,705913	11,325375	M	K1b1a1
I6481	Germany	BBC	48,705913	11,325375	M	U5a1a1
I5836	Germany	BBC	49,652887	8,327682	F	H1b1+16362
I1530	Germany	BBC	51,45	11,54	M	H3ao
I3529	Hungary	BBC	47,62094	19,04494	F	I3a
I3528	Hungary	BBC	47,62094	19,04494	M	HV4a1+16291
I2364	Hungary	BBC	47,59916	19,05456	M	U5a2b
I2365	Hungary	BBC	47,59916	19,05456	M	V3
I5015	Hungary	BBC	47,59916	19,05456	F	H1aj
I7044	Hungary	BBC	47,429954	19,051966	M	U5b1d1b
I7045	Hungary	BBC	47,429954	19,051966	F	T2c1d+152
I2741	Hungary	BBC	47,383224	19,020252	M	H1+16189
I2786	Hungary	BBC	47,383224	19,020252	M	I1
I2787	Hungary	BBC	47,383224	19,020252	M	T2b
I4178	Hungary	BBC	47,383224	19,020252	M	J1c1b1a
I6580	Poland	BBC	50,87	16,86	M	K1a1b2b
I6534	Poland	BBC	50,09	18,1	M	T2e1
I6582	Poland	BBC	50,09	18,1	F	U5a2b
I6535	Poland	BBC	50,09	18,1	M	U5a2b
I6581	Poland	BBC	50,09	18,1	M	H6a1a
I4251	Poland	BBC	50,649	21,656	M	H1
I4252	Poland	BBC	50,649	21,656	M	U5a1a1
I4253	Poland	BBC	50,649	21,656	M	U5a2c
I6538	Poland	BBC	50,91	16,79	F	H40
I6583	Poland	BBC	50,96	17,02	F	U5b1c2
I5755	Switzerland	BBC	46,231707	7,351237	M	K2b1a
I5757	Switzerland	BBC	46,231707	7,351237	M	H3af
I5759	Switzerland	BBC	46,231707	7,351237	F	U2e1c1
I4229	Portugal	BBC	39,09	-9,25	M	U5a2+16362
I0839	Portugal	BBC	39,5	-8,616666667	F	-
I0840	Portugal	BBC	39,5	-8,616666667	F	U5b1i
I1970	Portugal	BBC	38,875	-9,075	M	X2b+226
I6467	Portugal	BBC	38,875	-9,075	F	K1a4a1
I6466	Portugal	BBC	38,875	-9,075	M	K1b1a1
I0458	Spain	BBC	42,4	-3,75	M	K1a1b1
I0460	Spain	BBC	42,4	-3,75	M	H45
I0459	Spain	BBC	42,4	-3,75	F	U5b2b
I0461	Spain	BBC	42,4	-3,75	F	K1a1b1
I0462	Spain	BBC	42,4	-3,75	F	K1a+195
I5665	Spain	BBC	42,72503	-3,844537	M	K1a24a
I4245	Spain	BBC	40,426	-3,535	F	L1b1a
I4247	Spain	BBC	40,426	-3,535	F	T2b3
I6542	Spain	BBC	40,439	-3,501	M	U5b1i
I6626	Spain	BBC	40,439	-3,501	U	H1
I6622	Spain	BBC	40,439	-3,501	M	U5b1i
I6623	Spain	BBC	40,439	-3,501	F	U5b1f1a
I6539	Spain	BBC	40,22	-3,76	M	T2b3+151
